Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
91,Davangere,Davangere,Cotton,MCU 5,FAQ,1070,3340,2764,16 Mar 2018
92,Davangere,Davangere,Cotton,MCU 5,FAQ,1070,4389,3860,05 Mar 2018
93,Davangere,Davangere,Cotton,MCU 5,FAQ,1070,6280,4589,30 Nov 2016
94,Davangere,Davangere,Cotton,MCU 5,FAQ,1080,4110,3758,20 Apr 2020
95,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,4469,3795,18 Sep 2017
96,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,4611,3959,18 Feb 2016
97,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,4840,3200,19 Aug 2020
98,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,5159,4634,14 Sep 2017
99,Davangere,Davangere,Cotton,MCU 5,FAQ,1100,6670,4970,23 Nov 2020
100,Davangere,Davangere,Cotton,MCU 5,FAQ,1109,5319,4551,13 Feb 2019
101,Davangere,Davangere,Cotton,MCU 5,FAQ,1109,5556,5158,28 Dec 2017
102,Davangere,Davangere,Cotton,MCU 5,FAQ,1109,5960,4386,07 Sep 2020
103,Davangere,Davangere,Cotton,MCU 5,FAQ,1119,5309,4650,07 Dec 2020
104,Davangere,Davangere,Cotton,MCU 5,FAQ,1119,6230,4985,16 Dec 2019
105,Davangere,Davangere,Cotton,MCU 5,FAQ,1129,6575,5141,30 Dec 2019
106,Davangere,Davangere,Cotton,MCU 5,FAQ,1132,5472,5158,25 Jan 2019
107,Davangere,Davangere,Cotton,MCU 5,FAQ,1159,3689,3544,17 Apr 2020
108,Davangere,Davangere,Cotton,MCU 5,FAQ,1159,6376,5002,20 Dec 2019
109,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,5320,4213,18 Nov 2020
110,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,5715,4549,26 Nov 2020
111,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,5889,5371,09 Aug 2018
112,Davangere,Davangere,Cotton,MCU 5,FAQ,1169,6161,5397,17 Sep 2018
113,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,3590,3199,06 Mar 2018
114,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,4080,3384,07 Nov 2017
115,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,4429,3790,28 Mar 2016
116,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,4519,3313,14 Mar 2016
117,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,5130,4350,20 Oct 2020
118,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,5239,4409,09 Feb 2018
119,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,5870,4944,19 Sep 2019
120,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,5950,5079,21 Oct 2019
121,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,6469,4813,28 Nov 2018
122,Davangere,Davangere,Cotton,MCU 5,FAQ,1170,6890,5611,15 Oct 2018
123,Davangere,Davangere,Cotton,MCU 5,FAQ,1200,4726,4109,29 Feb 2016
124,Davangere,Davangere,Cotton,MCU 5,FAQ,1209,5320,4641,11 Nov 2016
125,Davangere,Davangere,Cotton,MCU 5,FAQ,1209,6060,5227,18 Nov 2016
126,Davangere,Davangere,Cotton,MCU 5,FAQ,1209,6156,3355,05 Nov 2019
127,Davangere,Davangere,Cotton,MCU 5,FAQ,1209,6606,5830,05 Nov 2020
128,Davangere,Davangere,Cotton,MCU 5,FAQ,1211,5571,5081,11 Jan 2019
129,Davangere,Davangere,Cotton,MCU 5,FAQ,1211,6209,3871,03 Feb 2020
130,Davangere,Davangere,Cotton,MCU 5,FAQ,1216,6276,4941,20 Nov 2019
131,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,4389,3896,13 Apr 2020
132,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,4819,4665,04 Dec 2017
133,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,5019,4550,16 Oct 2020
134,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,5469,4940,24 Oct 2019
135,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,5720,4650,19 Oct 2020
136,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,5849,4127,18 Nov 2019
137,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,6229,5670,23 Aug 2021
138,Davangere,Davangere,Cotton,MCU 5,FAQ,1219,6770,5779,01 Oct 2018
139,Davangere,Davangere,Cotton,MCU 5,FAQ,1220,5019,4321,14 Jan 2020
140,Davangere,Davangere,Cotton,MCU 5,FAQ,1228,3410,2254,30 Nov 2017
141,Davangere,Davangere,Cotton,MCU 5,FAQ,1229,5389,4219,23 Oct 2019
142,Davangere,Davangere,Cotton,MCU 5,FAQ,1239,4509,2633,22 Nov 2017
143,Davangere,Davangere,Cotton,MCU 5,FAQ,1239,5162,4552,26 Dec 2019
144,Davangere,Davangere,Cotton,MCU 5,FAQ,1239,5170,4855,07 Jan 2020
145,Davangere,Davangere,Cotton,MCU 5,FAQ,1249,6969,5810,25 Oct 2018
146,Davangere,Davangere,Cotton,MCU 5,FAQ,1249,7001,4980,02 Dec 2020
147,Davangere,Davangere,Cotton,MCU 5,FAQ,1250,5109,4451,23 Sep 2017
148,Davangere,Davangere,Cotton,MCU 5,FAQ,1250,6049,5360,01 Mar 2021
149,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,5150,4852,12 Dec 2016
150,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,5155,5001,10 Jan 2020
151,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,5560,4675,18 Dec 2019
152,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,5922,4710,06 Dec 2019
153,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,5929,5454,30 Aug 2018
154,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,5969,4481,17 Dec 2016
155,Davangere,Davangere,Cotton,MCU 5,FAQ,1269,6424,5201,08 Aug 2016
156,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,2269,2019,16 May 2018
157,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,2470,1732,23 May 2018
158,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,3690,1975,27 Oct 2017
159,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,5269,4543,11 Nov 2019
160,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,5680,4160,26 Nov 2016
161,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,5819,4501,13 Sep 2019
162,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,5919,4680,16 Dec 2016
163,Davangere,Davangere,Cotton,MCU 5,FAQ,1270,6429,5467,29 Nov 2018
164,Davangere,Davangere,Cotton,MCU 5,FAQ,1290,5726,5301,18 Oct 2019
165,Davangere,Davangere,Cotton,MCU 5,FAQ,1290,5940,5133,16 Sep 2019
166,Davangere,Davangere,Cotton,MCU 5,FAQ,1290,6370,4758,11 Dec 2017
167,Davangere,Davangere,Cotton,MCU 5,FAQ,1300,5050,4393,24 Jan 2020
168,Davangere,Davangere,Cotton,MCU 5,FAQ,1309,4649,4306,21 Feb 2019
169,Davangere,Davangere,Cotton,MCU 5,FAQ,1309,4830,4183,06 Nov 2019
170,Davangere,Davangere,Cotton,MCU 5,FAQ,1309,6109,5387,27 Sep 2016
171,Davangere,Davangere,Cotton,MCU 5,FAQ,1309,6369,4540,23 Dec 2019
172,Davangere,Davangere,Cotton,MCU 5,FAQ,1309,6489,5074,28 Jan 2019
173,Davangere,Davangere,Cotton,MCU 5,FAQ,1311,6270,4520,12 Oct 2020
174,Davangere,Davangere,Cotton,MCU 5,FAQ,1319,4319,4154,21 Jan 2020
175,Davangere,Davangere,Cotton,MCU 5,FAQ,1319,4669,3230,18 Feb 2020
176,Davangere,Davangere,Cotton,MCU 5,FAQ,1319,4872,4549,21 Feb 2018
177,Davangere,Davangere,Cotton,MCU 5,FAQ,1319,5109,4390,20 Dec 2017
178,Davangere,Davangere,Cotton,MCU 5,FAQ,1319,5209,4985,04 Dec 2019
179,Davangere,Davangere,Cotton,MCU 5,FAQ,1319,6469,5662,24 Sep 2018
180,Davangere,Davangere,Cotton,MCU 5,FAQ,1320,4100,2710,16 Sep 2020
181,Davangere,Davangere,Cotton,MCU 5,FAQ,1359,6119,4714,23 Jan 2020
182,Davangere,Davangere,Cotton,MCU 5,FAQ,1369,4009,3570,06 Oct 2020
183,Davangere,Davangere,Cotton,MCU 5,FAQ,1369,5409,4704,12 Sep 2018
184,Davangere,Davangere,Cotton,MCU 5,FAQ,1369,5819,5124,05 Sep 2018
185,Davangere,Davangere,Cotton,MCU 5,FAQ,1369,8700,8190,18 Oct 2021
186,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,4239,3953,18 Apr 2016
187,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,5039,3991,02 Nov 2019
188,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,5446,4755,10 Nov 2016
189,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,5500,5057,16 Jan 2017
190,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,6069,5442,08 Feb 2017
191,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,6129,5665,17 Sep 2019
192,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,6282,5497,20 Sep 2018
193,Davangere,Davangere,Cotton,MCU 5,FAQ,1370,6476,4942,05 Dec 2016
194,Davangere,Davangere,Cotton,MCU 5,FAQ,1390,4690,3740,19 Nov 2019
195,Davangere,Davangere,Cotton,MCU 5,FAQ,1400,4370,4090,08 Feb 2016
196,Davangere,Davangere,Cotton,MCU 5,FAQ,1400,5490,5028,21 Dec 2016
197,Davangere,Davangere,Cotton,MCU 5,FAQ,1400,6385,5222,12 Sep 2016
198,Davangere,Davangere,Cotton,MCU 5,FAQ,1409,5111,3999,31 Jan 2020
199,Davangere,Davangere,Cotton,MCU 5,FAQ,1409,5261,5062,27 Jan 2020
200,Davangere,Davangere,Cotton,MCU 5,FAQ,1409,5669,4759,17 Oct 2016
201,Davangere,Davangere,Cotton,MCU 5,FAQ,1409,6106,4393,04 Nov 2019
202,Davangere,Davangere,Cotton,MCU 5,FAQ,1410,5759,5286,03 Aug 2018
203,Davangere,Davangere,Cotton,MCU 5,FAQ,1411,5619,4830,02 Jan 2021
204,Davangere,Davangere,Cotton,MCU 5,FAQ,1411,6189,5605,23 Sep 2019
205,Davangere,Davangere,Cotton,MCU 5,FAQ,1414,5229,4848,13 Dec 2019
206,Davangere,Davangere,Cotton,MCU 5,FAQ,1419,5180,5025,06 Jun 2016
207,Davangere,Davangere,Cotton,MCU 5,FAQ,1419,8410,7450,26 Oct 2021
208,Davangere,Davangere,Cotton,MCU 5,FAQ,1420,5192,4880,03 Nov 2020
209,Davangere,Davangere,Cotton,MCU 5,FAQ,1449,5069,4767,13 Jan 2020
210,Davangere,Davangere,Cotton,MCU 5,FAQ,1449,5287,5025,12 Dec 2019
211,Davangere,Davangere,Cotton,MCU 5,FAQ,1449,10670,7760,25 Oct 2021
212,Davangere,Davangere,Cotton,MCU 5,FAQ,1459,14659,13644,21 Oct 2021
213,Davangere,Davangere,Cotton,MCU 5,FAQ,1469,4689,4151,12 Apr 2017
214,Davangere,Davangere,Cotton,MCU 5,FAQ,1469,5151,4210,27 Dec 2019
215,Davangere,Davangere,Cotton,MCU 5,FAQ,1469,6009,4550,25 Nov 2019
216,Davangere,Davangere,Cotton,MCU 5,FAQ,1470,4522,3908,08 Feb 2018
217,Davangere,Davangere,Cotton,MCU 5,FAQ,1500,4225,4062,16 Feb 2016
218,Davangere,Davangere,Cotton,MCU 5,FAQ,1500,4280,3939,08 Mar 2016
219,Davangere,Davangere,Cotton,MCU 5,FAQ,1500,6189,5094,21 Oct 2016
220,Davangere,Davangere,Cotton,MCU 5,FAQ,1500,7086,5499,30 Jan 2017
221,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,5009,4164,30 Jan 2020
222,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,5072,4637,02 Dec 2019
223,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,5088,4954,02 Nov 2016
224,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,5152,4584,29 Nov 2019
225,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,6289,5351,27 Nov 2018
226,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,6336,5204,18 Oct 2016
227,Davangere,Davangere,Cotton,MCU 5,FAQ,1509,6340,5137,26 Oct 2016
228,Davangere,Davangere,Cotton,MCU 5,FAQ,1515,4911,4566,14 Nov 2019
229,Davangere,Davangere,Cotton,MCU 5,FAQ,1515,4911,4566,16 Nov 2019
230,Davangere,Davangere,Cotton,MCU 5,FAQ,1519,5319,4148,27 Nov 2020
231,Davangere,Davangere,Cotton,MCU 5,FAQ,1519,15930,11450,27 Oct 2021
232,Davangere,Davangere,Cotton,MCU 5,FAQ,1522,5219,4511,17 Jan 2019
233,Davangere,Davangere,Cotton,MCU 5,FAQ,1529,5222,4139,09 Jan 2020
