Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
263,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1775,1775,1775,02 Aug 2021
264,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1775,1870,1789,16 May 2018
265,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1775,1970,1870,30 Mar 2022
266,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1775,1990,1880,14 Dec 2020
267,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1775,2025,1900,08 Mar 2022
268,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1780,1780,1780,11 Nov 2019
269,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1780,1800,1790,18 Nov 2021
270,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1780,1940,1900,18 Nov 2019
271,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1780,2111,1891,21 Oct 2022
272,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1780,2125,1943,03 Apr 2018
273,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1790,1850,1820,17 Mar 2022
274,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,02 Dec 2019
275,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,03 Jul 2018
276,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,09 Mar 2020
277,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,12 Aug 2020
278,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,17 Jan 2018
279,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,17 Sep 2019
280,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,22 Feb 2021
281,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,27 Jul 2021
282,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,28 Jul 2020
283,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,29 Aug 2020
284,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1800,1800,29 Oct 2020
285,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1860,1830,09 May 2018
286,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1870,1830,07 Apr 2022
287,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1881,1830,30 Nov 2018
288,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1900,1850,06 May 2016
289,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1900,1850,21 Oct 2016
290,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1900,1850,27 Oct 2021
291,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1905,1861,17 May 2018
292,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1910,1868,21 Jun 2018
293,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1919,1871,07 Nov 2022
294,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1950,1870,08 Apr 2022
295,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1950,1870,16 Nov 2021
296,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,1970,1880,03 Dec 2021
297,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2000,1900,24 Jun 2021
298,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2000,1900,25 Feb 2022
299,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2005,1885,04 May 2018
300,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2100,1950,04 Oct 2019
301,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2105,1931,05 Apr 2018
302,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2150,1955,14 Jul 2021
303,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2180,1990,16 Feb 2022
304,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2266,2030,25 Apr 2019
305,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2330,2060,30 Jul 2019
306,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2350,2075,30 Apr 2019
307,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2350,2080,19 Mar 2019
308,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2400,2100,28 Jun 2021
309,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1800,2400,2200,17 May 2020
